Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
12,12,-1,-1,-1,-1
Times
39,53,23,13,81,62,27,70,48,24,90,26
95,59,70,75,47,88,64,98,61,63,31,7
70,41,91,57,42,95,57,94,93,98,54,22
52,7,20,29,7,83,3,86,83,2,56,90
86,87,65,31,89,64,31,34,82,98,60,62
3,72,46,8,78,70,21,26,82,80,64,60
62,90,70,40,78,40,92,23,9,79,88,38
74,96,92,35,83,13,65,69,13,98,59,46
50,44,91,3,81,47,42,7,88,38,89,23
53,57,19,24,79,52,57,1,61,39,88,48
67,42,36,79,52,60,1,90,34,52,11,90
91,36,73,2,50,61,89,48,54,9,47,98
Machines
5,12,1,4,2,11,3,9,10,6,7,8
6,11,3,2,12,8,1,10,9,4,5,7
12,4,3,6,5,7,2,11,10,9,8,1
6,12,5,10,4,8,1,2,9,3,7,11
10,11,9,12,2,7,3,8,5,1,4,6
6,8,11,9,3,2,1,5,4,10,12,7
2,4,8,11,10,1,7,12,6,5,9,3
8,12,1,5,3,7,9,10,11,4,6,2
12,11,1,9,4,3,6,10,8,2,7,5
7,1,11,10,2,4,5,6,9,12,3,8
9,6,7,3,4,8,5,11,10,12,1,2
8,1,10,6,5,7,11,3,2,9,4,12
