Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
15,10,-1,-1,-1,-1
Times
83,40,83,12,23,24,8,87,77,84
64,78,79,62,34,59,86,58,28,42
73,43,49,41,41,44,60,62,11,28
60,90,47,56,50,91,16,82,36,36
57,96,27,17,14,82,31,30,66,17
32,43,53,18,8,38,66,17,58,56
65,37,81,69,39,68,8,76,14,46
62,11,11,40,84,58,86,84,43,65
42,63,37,36,24,63,21,30,30,94
91,84,75,95,82,34,16,64,42,78
9,78,61,42,47,80,28,79,80,1
19,49,55,37,31,55,78,26,36,49
92,71,43,5,52,83,91,54,2,59
69,74,73,73,15,53,10,65,63,30
58,11,58,83,85,3,23,47,38,51
Machines
10,3,2,4,8,5,9,7,6,1
8,10,7,2,6,5,1,3,9,4
8,5,4,1,2,3,7,6,10,9
9,3,4,1,7,6,10,8,2,5
7,4,10,9,3,6,1,2,8,5
9,5,10,2,4,8,1,6,7,3
5,2,6,10,4,7,1,3,9,8
3,6,8,7,5,1,9,4,10,2
7,3,10,4,2,1,9,5,6,8
2,7,10,4,9,5,1,3,8,6
5,2,6,9,7,1,3,4,8,10
9,1,7,10,2,6,3,5,8,4
10,5,6,9,4,8,2,3,7,1
3,6,7,10,1,5,9,2,8,4
2,7,4,8,3,5,6,9,10,1
