Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
15,10,-1,-1,-1,-1
Times
12,56,64,3,24,88,57,49,97,5
96,49,75,92,45,86,69,13,93,95
94,4,76,27,31,61,39,94,46,57
23,14,69,89,34,12,12,61,22,96
55,20,6,12,62,64,17,81,66,66
64,28,90,61,98,27,12,67,12,33
63,25,25,31,66,44,6,65,73,34
84,50,68,93,16,37,84,74,87,74
29,43,7,23,59,86,85,2,16,27
54,35,98,30,95,55,44,9,84,36
5,80,62,64,67,24,84,80,35,27
6,32,37,82,49,19,52,10,81,90
38,31,33,36,45,16,1,22,54,28
95,83,63,79,37,50,58,84,31,81
72,95,43,19,75,49,23,74,76,57
Machines
1,8,3,6,7,5,4,10,2,9
10,6,7,9,8,1,3,4,5,2
3,7,5,1,6,2,9,4,10,8
6,3,9,5,7,2,4,1,10,8
4,10,7,1,6,8,5,2,9,3
4,1,5,2,7,3,10,6,8,9
6,9,3,2,4,10,7,5,1,8
8,5,3,10,6,9,1,7,2,4
8,9,5,1,4,3,7,6,2,10
9,5,10,4,1,6,8,3,7,2
6,9,8,10,5,2,7,3,4,1
5,10,3,8,1,9,7,2,4,6
2,10,8,6,7,3,5,4,1,9
3,1,9,4,5,2,10,6,8,7
3,1,5,8,7,4,10,6,9,2
