10	10
1	55	9	47	5	74	0	75	7	64	6	8	2	16	4	67	8	48	3	55
8	52	2	11	4	53	9	57	7	80	6	54	3	80	5	40	1	60	0	48
3	61	7	30	4	50	6	27	0	17	1	70	5	86	8	79	2	89	9	17
2	9	7	27	5	97	8	13	4	43	3	48	6	44	0	63	1	58	9	71
6	8	9	81	8	32	2	93	1	73	7	14	0	62	4	81	3	3	5	87
8	52	7	86	5	79	0	38	9	31	4	24	1	82	6	48	3	43	2	40
9	34	1	38	8	93	5	1	3	64	0	56	6	29	7	87	4	53	2	93
4	41	9	19	3	53	6	83	0	81	1	7	2	97	5	16	8	86	7	33
1	57	7	82	3	58	2	85	0	41	5	84	6	76	4	56	9	37	8	56
4	44	5	58	6	62	9	94	2	17	1	31	7	68	0	91	3	82	8	79
