Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,15,-1,-1,-1,-1
Times
87,84,34,29,33,28,98,68,42,50,11,92,46,35,66
36,55,2,50,92,96,42,5,96,87,28,30,2,27,13
76,18,87,65,43,61,51,69,11,90,2,33,72,80,55
35,29,49,87,40,29,34,81,43,98,74,4,31,52,77
68,48,68,1,49,7,7,15,17,92,26,32,25,23,6
66,7,16,19,23,45,88,53,8,71,71,51,60,21,32
17,89,4,94,79,5,43,69,20,57,31,62,41,60,92
27,59,42,1,36,7,14,51,73,48,65,60,43,73,66
21,69,94,42,49,58,6,82,87,62,36,2,71,24,16
95,25,28,55,82,42,13,66,88,43,84,76,40,1,79
Machines
10,5,1,13,6,11,14,2,8,4,7,3,12,9,15
13,12,7,15,14,3,9,5,4,1,6,8,11,10,2
10,13,7,1,15,2,11,9,6,14,8,12,4,3,5
6,2,14,3,15,8,7,13,9,5,4,10,12,11,1
1,14,3,13,5,15,9,11,12,6,7,8,2,4,10
12,15,11,3,8,9,10,4,14,2,7,5,6,13,1
15,7,14,2,3,4,8,13,11,1,10,9,5,6,12
8,13,14,2,15,11,9,1,7,3,6,12,5,10,4
4,8,7,6,12,11,14,3,1,13,15,2,10,5,9
15,7,13,4,6,8,3,1,5,2,11,10,12,14,9
