Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,15,-1,-1,-1,-1
Times
67,59,10,13,57,46,11,13,4,58,27,23,92,30,40
86,26,49,72,23,88,11,55,52,72,1,86,11,90,54
65,22,36,96,50,53,3,49,3,52,43,66,76,67,76
37,89,30,73,43,85,70,57,85,83,70,44,71,8,70
2,52,52,48,61,89,93,46,46,85,46,9,90,28,9
65,82,93,29,65,89,79,71,34,10,68,28,5,25,80
58,66,64,59,86,25,58,78,68,44,24,19,55,55,26
46,64,70,75,4,78,10,93,32,50,92,93,1,45,21
2,50,58,11,16,77,83,28,44,88,43,83,37,88,91
36,45,16,61,64,32,83,7,30,3,86,48,54,32,61
Machines
14,7,3,5,10,9,6,11,15,8,2,13,1,4,12
4,15,14,8,12,10,13,3,2,9,1,11,5,7,6
6,5,4,3,15,11,1,10,13,2,7,8,14,12,9
1,11,15,14,8,5,3,6,9,4,10,2,7,13,12
5,2,12,13,7,10,9,6,14,11,1,8,4,15,3
6,4,3,10,8,12,11,7,15,1,9,13,14,5,2
2,7,11,10,4,3,12,13,1,14,5,8,6,9,15
13,9,11,6,4,7,5,3,2,15,14,8,12,10,1
1,9,12,6,10,11,13,5,2,3,15,4,7,8,14
4,8,13,14,15,2,5,3,11,10,9,1,12,7,6
