Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,15,-1,-1,-1,-1
Times
96,63,33,59,69,15,42,95,70,23,35,96,28,1,7
91,80,40,17,91,25,38,4,98,55,83,32,45,98,42
74,17,32,78,41,22,98,28,87,34,62,50,42,28,67
45,58,69,78,84,89,43,93,88,94,95,63,23,90,83
33,6,70,13,4,64,43,46,19,5,36,28,39,14,16
15,44,87,27,86,5,10,74,84,41,69,46,22,55,4
54,49,1,14,27,70,11,25,73,10,26,44,13,98,79
29,77,95,4,6,85,82,74,93,73,84,67,64,74,34
9,9,3,32,93,20,50,35,8,32,19,10,93,35,95
41,90,57,40,52,4,67,37,24,98,20,98,43,95,18
Machines
6,9,15,13,1,2,4,7,14,12,5,3,11,10,8
14,10,13,5,1,15,6,9,7,2,3,4,8,12,11
5,4,9,3,2,7,6,13,15,12,8,11,1,10,14
8,9,3,4,2,10,12,1,14,7,5,13,6,15,11
7,13,15,12,8,2,1,4,9,5,3,14,6,11,10
11,15,6,1,8,4,3,2,12,7,10,5,13,9,14
1,10,14,3,5,11,2,15,7,12,6,13,9,4,8
6,3,10,15,8,13,12,7,4,1,2,11,14,9,5
13,2,3,6,1,9,15,14,7,8,4,10,11,5,12
4,7,15,14,10,11,1,2,12,13,3,9,5,6,8
