Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,15,-1,-1,-1,-1
Times
22,93,9,86,89,97,67,17,93,34,57,55,60,43,37
22,68,82,9,70,15,80,49,77,72,60,61,25,79,65
55,74,3,26,75,40,6,41,36,73,25,1,62,2,21
28,12,38,81,12,12,24,41,59,83,67,53,34,43,14
95,39,3,55,7,29,42,56,55,63,84,41,12,27,74
44,8,53,45,50,49,96,29,77,25,42,40,31,52,85
25,91,48,41,13,58,43,68,28,9,5,47,84,43,8
22,91,37,75,18,90,53,39,72,59,63,34,57,14,68
52,63,96,94,65,31,33,63,75,1,37,20,15,12,78
35,4,36,40,66,34,68,19,91,14,77,88,58,56,15
Machines
14,5,9,4,2,6,8,7,13,3,11,1,10,12,15
13,9,14,10,3,11,6,12,2,1,8,5,4,15,7
9,13,14,8,10,12,1,15,4,11,2,6,7,5,3
8,11,10,9,13,2,4,1,3,12,14,5,7,15,6
4,6,15,1,10,7,5,9,8,14,12,3,2,11,13
7,14,12,8,10,6,15,1,5,11,9,4,13,3,2
11,1,3,5,10,7,6,8,15,14,2,12,9,4,13
13,12,1,11,7,6,9,15,2,14,10,3,4,8,5
6,10,4,14,13,2,12,9,3,1,15,11,7,5,8
14,7,2,1,3,9,5,8,13,11,4,10,12,15,6
