Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
12,10,-1,-1,-1,-1
Times
83,70,2,72,20,37,78,53,81,21
49,54,3,26,88,85,33,54,82,67
82,91,65,16,90,77,9,69,76,19
83,26,11,89,34,20,28,90,28,25
19,2,57,87,51,64,45,16,31,27
26,15,7,71,43,63,18,27,86,19
10,42,37,5,65,72,54,33,25,67
38,85,53,75,53,36,41,77,55,65
83,81,23,37,53,75,17,81,39,40
52,48,93,50,55,6,20,44,60,80
86,52,40,33,77,41,93,49,76,40
57,48,90,62,97,13,89,90,10,42
Machines
10,9,3,7,2,6,5,4,1,8
2,8,5,4,3,9,1,7,6,10
3,8,1,7,2,5,6,10,9,4
9,3,10,7,5,1,8,4,2,6
9,8,1,3,5,2,10,4,6,7
7,3,5,4,10,6,8,1,9,2
3,8,6,9,1,7,4,5,2,10
6,10,8,2,7,1,4,3,9,5
1,6,4,8,3,9,7,2,10,5
7,4,10,3,1,2,9,8,5,6
3,5,2,6,10,7,8,1,4,9
6,9,10,3,4,1,5,8,7,2
