Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
12,15,-1,-1,-1,-1
Times
89,62,53,82,57,37,47,96,61,97,18,64,63,61,4
19,45,10,85,46,88,59,78,77,75,19,34,79,26,17
9,44,91,42,31,87,24,54,6,7,17,34,27,16,64
77,58,88,15,38,93,64,8,70,21,67,61,67,28,42
23,81,57,25,16,56,53,4,8,58,35,7,31,90,8
91,33,70,31,30,49,73,4,31,37,59,4,60,28,45
37,34,32,38,87,28,78,68,68,79,16,33,64,26,90
43,34,58,85,97,70,8,74,91,3,12,92,21,37,50
94,71,89,92,37,67,59,10,57,89,11,97,71,92,4
49,55,17,36,9,21,52,20,93,56,61,9,87,43,74
13,22,44,67,42,74,17,86,91,50,77,63,17,62,41
74,97,57,34,27,15,19,98,60,38,4,33,76,50,4
Machines
10,14,8,13,7,6,9,3,5,11,4,1,15,12,2
7,15,12,13,4,3,6,11,1,14,5,10,9,8,2
1,14,8,7,6,15,9,3,10,12,4,11,13,2,5
7,14,15,3,4,6,1,13,10,9,5,8,11,12,2
10,13,2,11,8,3,6,7,5,15,9,12,1,14,4
2,3,13,11,15,4,1,9,10,6,7,14,8,12,5
5,14,4,15,9,6,1,8,3,11,12,10,13,7,2
13,14,5,11,2,10,15,3,12,1,7,6,9,8,4
2,4,9,10,8,6,5,14,7,12,11,15,13,3,1
3,14,13,8,15,12,2,6,5,9,1,4,7,11,10
15,3,11,10,12,14,1,8,7,13,2,9,5,6,4
9,5,8,13,11,2,12,15,7,14,4,3,1,10,6
