Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
12,15,-1,-1,-1,-1
Times
90,31,80,98,57,75,72,31,64,6,57,82,8,85,40
23,3,72,43,60,24,77,4,85,5,11,38,88,31,24
3,2,4,52,49,40,19,94,76,15,26,95,54,95,77
95,61,73,71,82,35,10,53,37,85,33,72,67,36,51
15,39,88,82,86,61,52,13,91,13,93,34,29,9,89
89,77,51,89,38,23,71,52,74,22,83,37,71,75,20
87,26,4,13,78,47,59,67,27,7,1,32,92,75,61
13,41,63,58,3,14,47,44,19,83,27,20,66,4,47
76,83,14,9,3,82,24,29,83,13,60,98,91,32,49
1,6,11,32,77,4,95,84,78,97,14,80,54,40,71
48,40,77,93,50,94,31,30,14,44,9,54,89,54,3
43,94,66,65,77,41,39,45,26,91,67,40,7,36,45
Machines
12,2,5,13,3,10,9,11,8,7,15,1,14,6,4
15,4,12,2,7,13,14,10,8,6,5,3,1,11,9
12,11,13,7,8,10,2,5,14,15,9,1,4,3,6
15,2,3,12,4,6,13,11,14,9,7,1,8,10,5
12,9,3,2,7,5,8,14,6,10,4,13,15,1,11
7,11,10,8,14,3,5,13,6,4,1,15,2,9,12
8,5,3,15,6,7,9,13,2,1,4,12,14,10,11
3,2,9,1,6,11,5,4,13,14,8,10,15,12,7
4,8,5,12,14,6,11,3,1,15,2,9,10,7,13
9,11,1,5,8,6,3,15,14,4,2,12,7,13,10
10,8,4,13,6,5,11,2,3,9,12,7,14,15,1
3,5,11,9,4,8,2,6,13,12,14,15,10,1,7
