Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
12,15,-1,-1,-1,-1
Times
91,66,32,9,80,96,81,61,16,96,13,63,70,27,83
81,95,13,75,48,8,85,20,89,63,41,83,39,31,79
81,57,86,36,80,50,21,22,82,6,55,35,25,52,47
76,78,52,52,26,68,38,40,79,44,36,95,45,24,15
22,22,90,38,74,71,34,49,28,14,35,40,82,82,6
4,53,23,3,28,61,62,95,82,77,92,37,27,11,77
58,28,16,81,95,53,85,1,62,87,70,71,19,88,97
74,91,34,74,12,26,84,34,13,7,32,29,5,37,3
83,14,13,45,91,54,8,64,10,36,95,55,96,19,55
8,20,90,92,85,94,27,17,75,68,4,35,98,12,98
3,51,56,96,64,93,22,26,29,41,90,47,43,81,54
67,36,9,69,3,74,80,82,7,70,24,75,4,72,8
Machines
6,7,1,15,3,9,12,2,4,5,8,13,11,14,10
13,1,7,8,15,12,6,4,10,3,2,14,9,11,5
1,4,12,11,9,3,14,15,7,5,8,2,6,10,13
14,9,4,8,1,6,15,5,10,11,3,2,7,13,12
9,6,14,10,3,11,7,5,13,4,8,12,1,15,2
1,14,4,12,11,3,8,5,9,10,2,7,15,6,13
1,5,3,13,7,6,2,15,11,9,14,4,10,8,12
14,5,1,11,4,2,13,6,3,15,7,8,10,12,9
4,5,14,6,11,7,1,3,2,8,15,13,10,12,9
10,2,1,4,12,14,6,9,15,8,13,7,11,5,3
12,8,2,3,9,6,4,5,14,10,11,13,1,15,7
10,14,4,5,7,11,13,8,2,15,3,1,12,9,6
