Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,12,-1,-1,-1,-1
Times
51,96,12,86,79,52,62,25,45,40,47,66
75,58,81,24,64,22,83,79,35,1,49,46
62,87,89,82,66,10,6,41,8,30,19,6
51,64,77,76,24,40,65,84,82,50,18,26
65,25,40,44,89,26,34,76,87,86,57,6
66,44,25,16,62,66,9,28,69,39,53,65
36,15,90,79,39,43,47,74,46,82,42,62
86,45,95,87,86,5,42,5,77,65,33,39
75,31,36,30,49,44,86,85,46,91,40,93
38,24,69,93,19,19,83,16,70,14,83,54
Machines
6,10,4,3,7,8,5,1,2,9,11,12
4,9,8,5,6,11,12,1,7,2,3,10
11,6,4,2,3,1,8,12,5,7,10,9
11,9,12,3,10,4,1,6,2,7,8,5
10,12,7,1,4,11,3,2,6,9,5,8
8,6,7,12,2,9,1,4,10,3,11,5
5,11,12,10,3,1,9,7,6,2,4,8
7,5,11,9,12,1,4,2,8,3,6,10
2,9,3,10,11,5,12,7,8,1,4,6
5,11,4,7,8,10,12,9,6,3,2,1
