Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,10,-1,-1,-1,-1
Times
53,61,50,56,65,22,24,52,96,69
11,45,50,56,72,31,85,50,24,80
78,92,6,92,66,54,24,94,52,91
48,97,70,28,58,65,53,75,31,96
40,28,88,83,12,34,64,67,32,20
78,51,92,62,89,47,79,11,24,81
33,62,3,2,55,80,38,35,62,91
52,96,19,42,82,88,59,90,63,90
55,16,19,58,47,19,46,34,53,91
30,94,46,5,1,14,29,65,96,81
Machines
6,1,2,9,10,7,8,4,5,3
4,3,5,9,1,10,2,8,6,7
4,10,6,1,3,5,2,8,9,7
1,9,2,7,10,6,5,3,4,8
10,5,7,2,4,9,3,1,6,8
2,1,7,5,4,6,8,10,9,3
3,6,8,2,7,4,1,5,9,10
2,9,3,5,10,7,4,6,8,1
8,5,3,9,7,10,4,2,6,1
9,10,7,3,8,5,6,2,1,4
