Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,10,-1,-1,-1,-1
Times
81,62,5,9,9,31,87,6,20,47
80,71,71,70,75,85,16,70,50,90
31,67,29,95,24,30,17,90,7,86
9,22,67,28,54,90,16,40,70,88
48,87,95,9,44,24,35,40,89,50
70,12,68,87,45,61,95,12,11,70
25,66,3,63,20,20,68,30,13,74
9,74,17,32,90,92,26,5,21,39
53,23,31,36,49,20,37,15,80,52
49,11,4,49,33,15,81,57,57,71
Machines
9,8,5,6,1,7,10,4,3,2
6,7,3,9,1,8,5,10,4,2
10,5,6,7,9,2,4,8,3,1
4,6,2,8,9,1,10,5,7,3
7,10,1,3,2,4,5,9,8,6
3,6,7,9,5,10,2,4,1,8
8,3,7,5,2,4,1,9,10,6
6,7,9,10,1,5,8,4,2,3
5,8,2,3,9,7,6,1,4,10
5,7,3,6,2,10,8,4,9,1
