15	15
11	6	5	9	3	9	13	8	2	4	6	6	0	1	1	5	7	6	8	8	9	8	14	5	4	9	12	4	10	6
12	1	14	6	1	6	13	6	9	1	0	2	2	4	8	6	4	3	7	9	3	7	11	2	6	7	5	7	10	7
8	2	9	4	4	8	2	9	13	7	10	8	5	2	14	6	0	5	1	6	6	4	11	6	7	4	3	5	12	1
12	8	7	7	2	6	13	5	9	8	5	6	14	2	3	4	0	3	8	4	6	3	1	4	4	2	11	3	10	7
7	8	14	6	8	3	12	4	6	1	4	3	5	2	0	1	3	2	1	2	13	7	2	3	9	2	11	6	10	2
5	9	3	4	6	7	9	7	10	6	2	3	11	1	7	5	12	3	13	4	4	9	1	9	8	7	0	2	14	8
9	2	7	5	1	2	0	6	2	6	3	6	4	2	8	4	10	1	11	8	5	9	14	9	6	9	13	9	12	3
12	3	8	1	14	9	1	3	6	2	13	1	4	8	11	1	0	7	2	3	3	7	7	1	9	7	10	4	5	9
12	1	5	6	11	7	4	9	14	9	3	1	2	1	13	4	1	3	10	8	0	7	8	3	7	5	9	6	6	8
9	7	2	4	13	7	8	3	11	9	0	5	12	4	5	7	1	7	3	1	4	4	7	2	14	2	6	8	10	4
4	2	10	7	11	4	14	8	2	3	7	4	5	2	1	4	9	2	12	4	0	6	3	2	8	2	6	3	13	9
6	4	8	1	2	9	10	6	4	1	12	3	7	7	1	6	5	6	14	4	0	8	13	1	3	5	9	7	11	2
5	3	7	8	12	4	13	5	14	3	8	6	3	2	4	2	9	8	1	6	0	6	2	1	6	2	10	7	11	5
14	2	7	4	10	5	8	4	5	9	0	5	1	2	9	5	6	2	11	6	3	6	13	5	12	2	4	1	2	6
13	4	6	1	9	1	1	4	2	4	8	5	4	5	12	9	0	9	5	7	14	2	10	8	7	1	3	1	11	5
