15	15
6	1	13	9	9	6	12	8	5	7	10	3	11	7	1	8	14	6	2	2	8	8	7	6	3	3	0	6	4	9
13	4	10	2	4	6	12	1	5	3	3	7	0	3	9	1	2	3	6	4	11	5	7	1	1	5	8	4	14	4
11	6	13	5	10	9	3	8	1	8	4	9	7	7	5	5	8	9	14	2	6	6	12	3	0	3	2	1	9	5
3	5	6	4	12	4	4	7	0	2	7	8	2	3	11	2	5	2	8	3	1	6	13	2	10	9	14	9	9	6
11	8	0	9	10	9	14	3	2	7	6	6	9	2	1	7	3	7	12	4	13	1	5	3	8	5	4	6	7	5
8	4	13	7	7	6	2	4	14	6	3	9	1	8	10	3	6	5	5	1	9	8	4	9	11	7	12	9	0	2
2	6	0	5	8	5	1	3	7	8	6	9	13	1	12	1	9	6	11	8	10	4	4	1	3	3	5	3	14	7
0	3	7	2	4	8	10	9	14	1	11	5	13	7	2	9	8	1	5	7	3	3	9	6	1	5	12	9	6	5
3	2	13	5	8	1	11	5	2	4	14	7	10	4	6	6	7	6	9	1	5	3	4	3	0	7	1	4	12	3
14	9	12	7	1	9	9	3	6	5	3	9	13	4	4	1	11	2	2	8	7	2	10	4	5	1	0	2	8	7
11	5	4	6	6	7	7	8	9	1	8	7	0	2	3	8	13	7	12	1	2	2	1	8	14	5	10	6	5	5
3	2	14	8	0	9	12	9	4	2	11	2	7	4	8	6	10	1	1	3	5	6	6	7	13	8	2	6	9	4
5	4	8	2	9	9	7	9	13	8	4	2	10	6	3	1	14	6	0	8	6	8	2	9	12	2	11	9	1	5
9	3	2	7	11	9	14	9	4	4	10	6	8	2	13	6	6	8	5	8	0	5	1	3	3	1	7	5	12	1
4	6	10	7	2	7	12	3	7	5	1	5	14	4	8	2	5	2	3	2	11	8	13	2	9	8	0	9	6	9
