Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
8,10,-1,-1,-1,-1
Times
33,30,12,94,11,66,41,70,54,39
88,45,69,76,54,75,24,54,76,67
98,9,35,90,31,22,32,90,59,46
8,24,93,59,89,3,91,10,28,95
57,31,82,46,53,34,83,37,54,95
72,56,84,26,73,97,12,14,84,47
89,4,27,36,90,96,87,90,22,25
74,26,27,48,94,64,68,51,25,94
Machines
9,5,4,7,6,1,2,3,8,10
2,3,4,6,1,9,10,7,8,5
4,2,6,10,5,7,3,8,1,9
10,4,8,3,9,5,1,6,2,7
7,9,4,2,8,6,3,5,1,10
3,1,7,6,5,8,4,9,2,10
8,2,7,4,1,3,9,10,6,5
5,7,4,3,1,6,9,8,2,10
