Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
8,10,-1,-1,-1,-1
Times
61,11,74,24,91,32,78,9,63,54
10,96,21,93,37,65,92,44,26,81
46,2,53,61,30,67,79,58,52,67
16,32,88,17,87,7,21,72,84,90
60,68,34,52,77,53,53,20,14,46
66,51,78,80,56,76,93,58,74,91
59,14,29,32,92,91,86,96,27,35
90,28,19,58,41,74,72,72,58,64
Machines
6,3,1,4,9,10,5,2,8,7
7,2,3,5,9,1,6,8,4,10
4,6,5,2,8,7,10,1,9,3
8,2,1,3,10,7,9,5,4,6
2,10,8,6,3,5,4,9,1,7
2,9,7,4,5,3,8,10,1,6
10,2,6,4,8,1,7,5,9,3
9,6,2,1,4,5,8,10,3,7
