Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
22,2,48,1,27,2,69,46
16,96,50,5,50,70,91,61
93,46,51,91,14,66,73,11
62,9,8,9,1,26,31,87
23,94,86,55,51,67,17,57
93,64,17,77,43,30,28,11
45,5,82,3,91,12,6,39
52,40,82,24,70,56,17,29
63,88,5,89,67,86,7,90
77,25,39,83,18,46,8,82
Machines
8,1,3,6,4,7,2,5
5,6,3,8,2,7,1,4
1,6,5,8,3,4,2,7
4,6,3,5,1,8,2,7
8,5,1,2,6,7,4,3
2,6,1,8,5,3,7,4
4,7,1,3,2,5,6,8
3,6,4,7,8,2,1,5
7,3,5,2,4,1,6,8
6,8,7,2,5,3,4,1
