Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
39,18,90,45,28,27,51,72
93,7,68,59,29,88,76,42
8,9,84,16,18,14,74,44
32,75,23,23,5,78,10,70
94,78,29,89,44,13,9,19
37,38,4,32,29,8,1,4
72,35,26,73,74,65,10,38
33,89,80,69,75,23,65,87
35,63,17,76,9,90,65,89
63,84,34,13,3,72,19,63
Machines
2,6,1,5,8,3,4,7
4,5,2,7,6,8,3,1
4,6,3,2,7,1,8,5
5,2,7,1,3,4,8,6
7,4,1,3,8,5,2,6
7,4,8,1,3,6,2,5
5,6,3,8,4,7,2,1
7,1,5,2,6,8,3,4
3,4,8,6,5,2,7,1
2,8,4,6,7,5,3,1
