Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
65,25,67,39,45,38,13,79
45,42,86,95,92,62,7,34
85,67,59,52,27,67,25,26
49,48,18,19,82,91,95,7
79,70,94,60,51,72,50,68
66,54,51,20,41,87,96,27
4,60,72,37,30,30,98,47
7,88,27,67,15,2,42,72
11,35,33,98,76,86,12,51
66,47,2,90,50,13,41,59
Machines
1,2,5,6,7,8,3,4
7,5,1,3,8,6,2,4
1,5,8,3,7,6,2,4
5,6,7,1,3,2,8,4
7,3,5,8,1,2,6,4
7,4,2,8,3,5,1,6
7,1,8,5,3,2,4,6
8,3,5,2,6,1,4,7
8,5,4,7,6,2,1,3
4,1,2,7,6,5,8,3
