Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
98,36,17,28,65,3,12,39
84,1,3,6,9,13,1,41
97,87,19,15,91,18,32,48
87,23,88,27,23,51,73,90
33,70,88,13,59,36,24,74
72,68,69,24,33,63,72,76
7,6,9,85,42,74,60,77
46,31,79,42,39,13,27,6
39,9,83,12,28,67,90,77
92,7,28,39,59,74,65,60
Machines
7,4,1,3,8,5,2,6
2,4,7,1,8,5,6,3
2,4,1,7,5,8,6,3
2,4,8,7,6,5,3,1
8,5,3,4,2,7,1,6
8,4,7,6,2,3,5,1
7,3,1,8,6,5,4,2
1,4,7,8,6,2,3,5
4,8,1,7,5,6,3,2
7,5,2,4,1,6,8,3
