Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
48,81,95,90,94,85,7,67
74,89,18,24,8,25,31,78
7,92,94,64,27,77,92,97
50,63,39,96,90,47,60,72
31,89,67,32,39,19,82,66
9,6,71,6,20,89,35,61
41,20,56,6,60,35,45,46
94,22,57,6,19,15,17,96
94,10,92,86,35,63,58,39
96,87,22,22,43,96,86,18
Machines
8,7,6,1,2,4,3,5
5,1,8,2,6,7,4,3
3,8,4,6,5,2,1,7
7,6,3,1,8,4,5,2
5,2,8,7,1,3,6,4
7,8,4,6,3,2,5,1
8,1,3,2,7,6,5,4
4,1,8,2,5,3,7,6
7,8,4,5,2,6,3,1
6,7,3,5,2,4,1,8
