Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
73,93,4,67,92,38,42,82
35,95,23,4,67,16,91,57
93,6,55,74,86,41,83,98
17,34,74,15,49,29,84,98
56,52,80,93,6,54,16,32
42,64,90,97,84,57,68,89
77,82,81,95,67,25,55,12
55,87,91,33,88,92,24,24
20,42,84,60,7,45,26,84
85,42,76,66,44,21,69,16
Machines
3,6,1,5,8,2,4,7
4,8,1,6,7,2,5,3
8,7,1,4,2,5,3,6
4,7,8,3,2,1,6,5
1,2,3,8,4,7,6,5
8,6,5,2,3,7,4,1
3,5,7,1,4,6,2,8
4,5,2,6,8,3,1,7
1,8,4,7,6,3,5,2
8,4,7,6,3,1,5,2
