Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
3,6,69,41,31,45,17,18
70,68,26,3,12,14,12,92
77,79,70,72,11,21,21,10
53,65,62,66,78,8,87,3
39,40,41,62,44,42,70,83
3,10,24,85,38,70,49,92
3,11,34,98,16,63,17,34
47,56,33,63,96,2,84,8
68,30,17,19,28,47,1,96
53,2,91,14,85,55,71,20
Machines
8,6,2,5,1,3,4,7
7,6,2,8,1,3,5,4
4,2,3,8,6,7,1,5
3,7,4,1,6,2,5,8
7,8,1,3,2,4,5,6
3,5,2,6,7,4,1,8
8,4,2,7,1,5,6,3
8,3,1,5,4,6,7,2
7,8,4,2,6,3,5,1
6,8,5,4,1,3,7,2
