Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
76,40,42,53,7,23,8,7
98,50,3,76,76,88,54,15
64,7,2,88,74,55,26,58
86,50,47,30,15,76,23,20
64,3,96,4,63,53,96,82
1,83,39,15,12,40,16,63
77,89,32,65,61,51,36,58
4,63,61,76,49,54,83,26
6,9,5,96,77,50,46,50
30,85,65,88,98,7,43,53
Machines
4,3,1,7,5,2,6,8
4,5,2,1,7,6,3,8
5,4,6,1,8,3,2,7
7,6,2,1,8,4,5,3
3,7,8,2,1,4,5,6
7,3,5,1,8,6,2,4
8,7,4,1,5,2,3,6
5,8,1,6,4,3,7,2
7,6,1,8,5,3,2,4
6,2,7,1,8,4,5,3
