Nb of jobs, Nb of Machines, Time seed, Machine seed, Upper bound, Lower bound
10,8,-1,-1,-1,-1
Times
31,50,15,9,37,38,61,69
93,28,20,90,20,46,71,7
36,73,54,29,8,52,85,80
68,28,15,4,64,24,48,27
55,49,58,96,28,20,11,90
66,8,26,77,21,33,19,32
72,68,12,86,7,75,7,23
79,51,65,92,75,38,73,50
42,23,38,86,50,24,22,90
32,32,52,54,73,43,96,54
Machines
8,1,4,5,6,7,3,2
4,8,2,7,1,6,3,5
2,5,1,3,8,4,7,6
4,1,2,7,8,6,3,5
8,2,1,3,4,5,6,7
3,8,6,5,4,7,1,2
2,5,6,7,1,8,4,3
6,8,5,3,4,1,7,2
4,2,7,8,6,3,5,1
5,1,4,7,3,8,2,6
